CASEID,agearr10,agecxryg,agefhsdg,agegr10,agehsdyg,aprgrdif,ageprg10,sex,marstat,sexpr,prtypec,chh0014c,chinhsdc,cxr0014c,cxrflag,cxrtime6,parnum,livarr08,livarr11,fhsd,mhsd,agemhsdg,grfhsd,grmhsd,sonhsd,dauhsd,solhsdc,grsohsdc,grchhsdc,grdahsdc,brhsdc,brohsdc,sihsdc,ilhsdc,orelhsdc,unrlhsdc,hsdsizec,hsdeligc,multigen,luc_rst,prv,ehg3_01,ttlincg2,famincg2
 1421,96,96,96,7, 8,12, 7,1,1,2,1,0,0,0,2,1,0,5, 2,2,2,96,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,35, 2,3,3
 1422,96,96,96,7, 9,96,96,2,3,6,0,0,0,0,2,1,0,5, 1,2,2,96,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,48, 5,3,3
 1423,96, 4,96,3, 2,96,96,2,6,6,0,0,1,0,1,1,0,5, 6,2,2,96,2,2,1,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,10, 2,1,3
 1424,96, 1,96,2, 1, 9, 2,2,1,1,1,1,1,1,1,2,0,5, 3,2,2,96,2,2,1,0,0,0,0,0,0,0,0,0,0,0,3,2,2,3,11, 6,3,4
 1425,99, 4,96,3, 2,14, 4,2,1,1,1,0,1,0,1,4,0,5, 3,2,2,96,2,2,0,1,0,0,0,0,0,0,0,0,0,0,3,3,2,1,47, 5,6,6
 1426,96,96,96,3, 4, 8, 3,1,1,2,1,0,0,0,2,1,0,5, 2,2,2,96,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,35, 2,1,5
 1427,96,96,96,4, 5,96,96,1,6,6,0,0,0,0,2,1,0,5, 1,2,2,96,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,24, 3,2,2
 1428,96,96,96,7, 8, 2, 6,2,1,1,1,0,0,0,2,1,0,5, 2,2,2,96,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,13, 7,2,3
 1429,96,96,96,1, 2,96,96,2,6,6,0,0,0,0,2,1,0,1,10,2,2,96,2,2,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,47, 2,1,1
 1430,96,96,96,3, 5,13, 4,2,2,1,2,0,0,0,2,1,0,5, 2,2,2,96,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,24, 3,1,3
 1431,96, 2,96,2, 1, 9, 3,1,1,2,1,2,2,2,1,3,0,5, 3,2,2,96,2,2,0,2,0,0,0,0,0,0,0,0,0,0,4,2,2,2,13, 4,3,4
